decimal_date,adjusted_prediction
2016.3750,404.42
2016.4583,404.59
2016.5417,404.76
2016.6250,404.93
2016.7083,405.10
2016.7917,405.27
2016.8750,405.44
2016.9583,405.62
2017.0417,405.79
2017.1250,405.96
2017.2083,406.14
2017.2917,406.32
2017.3750,406.49
2017.4583,406.67
2017.5417,406.85
2017.6250,407.03
2017.7083,407.21
2017.7917,407.39
2017.8750,407.57
2017.9583,407.75
2018.0417,407.94
2018.1250,408.12
2018.2083,408.30
2018.2917,408.49
2018.3750,408.68
2018.4583,408.86
2018.5417,409.05
2018.6250,409.24
2018.7083,409.43
2018.7917,409.62
2018.8750,409.81
2018.9583,410.00
2019.0417,410.20
2019.1250,410.39
2019.2083,410.58
2019.2917,410.78
2019.3750,410.97
2019.4583,411.17
2019.5417,411.37
2019.6250,411.57
2019.7083,411.77
2019.7917,411.97
2019.8750,412.17
2019.9583,412.37
2020.0417,412.57
2020.1250,412.77
2020.2083,412.98
2020.2917,413.18
2020.3750,413.39
2020.4583,413.59
2020.5417,413.80
2020.6250,414.01
2020.7083,414.22
2020.7917,414.43
2020.8750,414.64
2020.9583,414.85
2021.0417,415.06
2021.1250,415.27
2021.2083,415.49
2021.2917,415.70
2021.3750,415.92
2021.4583,416.13
2021.5417,416.35
2021.6250,416.57
2021.7083,416.79
2021.7917,417.01
2021.8750,417.23
2021.9583,417.45
2022.0417,417.67
2022.1250,417.89
2022.2083,418.11
2022.2917,418.34
2022.3750,418.56
2022.4583,418.79
2022.5417,419.01
2022.6250,419.24
2022.7083,419.47
2022.7917,419.70
2022.8750,419.93
2022.9583,420.16
2023.0417,420.39
2023.1250,420.62
2023.2083,420.85
2023.2917,421.09
2023.3750,421.32
2023.4583,421.56
2023.5417,421.79
2023.6250,422.03
2023.7083,422.27
2023.7917,422.51
2023.8750,422.75
2023.9583,422.99
2024.0417,423.23
2024.1250,423.47
2024.2083,423.71
2024.2917,423.95
2024.3750,424.20
2024.4583,424.44
2024.5417,424.69
2024.6250,424.93
2024.7083,425.18
2024.7917,425.43
2024.8750,425.68
2024.9583,425.93
2025.0417,426.18
2025.1250,426.43
2025.2083,426.68
2025.2917,426.93
2025.3750,427.19
