x,y,ln(y),xln(y),x^2
1958.2027,315.71,5.7548,11269.1120,3834557.8143
1958.2877,317.45,5.7603,11280.3644,3834890.7160
1958.3699,317.51,5.7605,11281.2080,3835212.6652
1958.4548,317.27,5.7598,11280.2162,3835545.2036
1958.5370,315.87,5.7553,11272.0282,3835867.1804
1958.6219,314.93,5.7524,11266.6795,3836199.7472
1958.7068,313.21,5.7469,11256.4410,3836532.3284
1958.7890,312.42,5.7443,11251.9665,3836854.3465
1958.8740,313.33,5.7473,11258.1522,3837187.3479
1958.9562,314.67,5.7515,11266.9845,3837509.3935
1959.0411,315.58,5.7544,11273.1300,3837842.0315
1959.1260,316.49,5.7573,11279.2598,3838174.6839
1959.2027,316.65,5.7578,11280.6916,3838475.2197
1959.2877,317.72,5.7612,11287.7905,3838808.2914
1959.3699,318.29,5.7630,11291.7761,3839130.4050
1959.4548,318.15,5.7625,11291.4033,3839463.1132
1959.5370,316.54,5.7574,11281.9355,3839785.2544
1959.6219,314.80,5.7519,11271.6227,3840117.9910
1959.7068,313.84,5.7489,11266.1257,3840450.7420
1959.7890,313.33,5.7473,11263.4109,3840772.9245
1959.8740,314.81,5.7520,11273.1350,3841106.0959
1959.9562,315.58,5.7544,11278.3959,3841428.3059
1960.0410,316.43,5.7571,11284.1561,3841760.7217
1960.1257,316.98,5.7588,11288.0477,3842092.7598
1960.2049,317.58,5.7607,11292.2107,3842403.2500
1960.2896,319.03,5.7653,11301.6285,3842735.3159
1960.3716,320.03,5.7684,11308.2364,3843056.8101
1960.4563,319.58,5.7670,11305.9664,3843388.9042
1960.5383,318.18,5.7626,11297.8318,3843710.4258
1960.6230,315.90,5.7554,11284.2200,3844042.5481
1960.7077,314.17,5.7499,11273.9403,3844374.6848
1960.7896,313.83,5.7489,11272.2881,3844695.8555
1960.8743,315.00,5.7526,11280.0718,3845028.0204
1960.9563,316.19,5.7563,11287.9377,3845349.6105
1961.0411,316.89,5.7586,11292.7625,3845682.1959
