x,y,xy,x^2
1958.2027,315.71,618224.1744,3834557.8143
1958.2877,317.45,621658.4304,3834890.7160
1958.3699,317.51,621802.0269,3835212.6652
1958.4548,317.27,621358.9544,3835545.2036
1958.5370,315.87,618643.0822,3835867.1804
1958.6219,314.93,616828.7950,3836199.7472
1958.7068,313.21,613486.5568,3836532.3284
1958.7890,312.42,611964.8594,3836854.3465
1958.8740,313.33,613773.9904,3837187.3479
1958.9562,314.67,616424.7475,3837509.3935
1959.0411,315.58,618234.1903,3837842.0315
1959.1260,316.49,620043.7877,3838174.6839
1959.2027,316.65,620381.5350,3838475.2197
1959.2877,317.72,622504.8880,3838808.2914
1959.3699,318.29,623647.8455,3839130.4050
1959.4548,318.15,623400.5446,3839463.1132
1959.5370,316.54,620271.8420,3839785.2544
1959.6219,314.80,616888.9741,3840117.9910
1959.7068,313.84,615034.3821,3840450.7420
1959.7890,313.33,614060.6874,3840772.9245
1959.8740,314.81,616987.9339,3841106.0959
1959.9562,315.58,618522.9776,3841428.3059
1960.0410,316.43,620215.7736,3841760.7217
1960.1257,316.98,621320.6444,3842092.7598
1960.2049,317.58,622521.8721,3842403.2500
1960.2896,319.03,625391.1911,3842735.3159
1960.3716,320.03,627377.7231,3843056.8101
1960.4563,319.58,626522.6244,3843388.9042
1960.5383,318.18,623804.0763,3843710.4258
1960.6230,315.90,619360.8057,3844042.5481
1960.7077,314.17,615995.5381,3844374.6848
1960.7896,313.83,615354.6002,3844695.8555
1960.8743,315.00,617675.4045,3845028.0204
1960.9563,316.19,620034.7725,3845349.6105
1961.0411,316.89,621434.3142,3845682.1959
1961.1260,317.70,623049.7302,3846015.1879
1961.2027,318.54,624721.5081,3846316.0305
1961.2877,319.48,626592.1944,3846649.4422
1961.3699,320.58,628775.9625,3846971.8846
1961.4548,319.77,627214.4014,3847304.9324
1961.5370,318.56,624867.2267,3847627.4024
1961.6219,316.79,621422.2017,3847960.4786
1961.7068,314.99,617918.0249,3848293.5692
1961.7890,315.31,618571.6896,3848616.0805
1961.8740,316.10,620148.3714,3848949.5919
1961.9562,317.01,621959.7350,3849272.1307
1962.0411,317.94,623811.3473,3849605.2781
1962.1260,318.55,625035.2373,3849938.4399
1962.2027,319.68,627276.9591,3850239.4359
1962.2877,320.57,629050.5680,3850573.0176
1962.3699,321.02,629959.9853,3850895.6244
1962.4548,320.62,629202.2580,3851228.8420
1962.5370,319.61,627246.4506,3851551.4764
1962.6219,317.40,622936.1911,3851884.7224
1962.7068,316.24,620686.3984,3852217.9828
1962.7890,315.42,619102.9064,3852540.6585
1962.8740,316.69,621622.5671,3852874.3399
1962.9562,317.70,623631.1847,3853197.0431
1963.0411,318.74,625699.7202,3853530.3603
1963.1260,319.07,626374.6128,3853863.6919
1963.2027,319.86,627950.0156,3854164.8413
1963.2877,321.38,630961.4010,3854498.5930
1963.3699,322.24,632676.3166,3854821.3642
1963.4548,321.49,631231.0837,3855154.7516
1963.5370,319.74,627821.3204,3855477.5504
1963.6219,317.77,623980.1312,3855810.9662
1963.7068,316.21,620943.7272,3856144.3964
1963.7890,315.99,620537.6861,3856467.2365
1963.8740,317.07,622685.5292,3856801.0879
1963.9562,318.35,625225.4563,3857123.9555
1964.0410,319.57,627648.5824,3857457.0497
1964.1257,320.04,628598.7890,3857789.7654
1964.2049,320.75,630018.7217,3858100.8892
1964.2896,321.84,632186.9649,3858433.6327
1964.3716,322.25,633018.7481,3858755.7829
1964.4563,321.89,632338.8384,3859088.5546
1964.5383,320.44,629516.6529,3859410.7322
1964.6230,318.69,626105.7039,3859743.5321
1964.7077,316.71,622242.5757,3860076.3464
1964.7896,316.87,622582.8806,3860398.1723
1964.8743,317.68,624201.2676,3860731.0148
1964.9563,318.71,626251.2224,3861053.2609
1965.0411,319.44,627712.7290,3861386.5247
1965.1260,320.44,629704.9754,3861720.1959
1965.2027,320.89,630613.8944,3862021.6521
1965.2877,322.14,633097.7797,3862355.7438
1965.3699,322.17,633183.2207,3862678.8438
1965.4548,321.87,632620.9365,3863012.5708
1965.5370,321.21,631350.1398,3863335.6984
1965.6219,318.87,626777.8553,3863669.4538
1965.7068,317.82,624740.9352,3864003.2236
1965.7890,317.30,623744.8497,3864326.3925
1965.8740,318.87,626858.2424,3864660.5839
1965.9562,319.42,627965.7294,3864983.7803
1966.0411,320.62,630352.0975,3865317.6069
1966.1260,321.60,632306.1216,3865651.4479
1966.2027,322.39,633884.0885,3865953.0575
1966.2877,323.70,636487.3285,3866287.3192
1966.3699,324.08,637261.1572,3866610.5836
1966.4548,323.75,636639.7415,3866944.4804
1966.5370,322.37,633952.5327,3867267.7724
1966.6219,320.36,630026.9919,3867601.6976
1966.7068,318.64,626671.4548,3867935.6372
1966.7890,318.10,625635.5809,3868258.9705
1966.8740,319.78,628966.9677,3868593.3319
1966.9562,321.02,631432.2793,3868916.6927
1967.0411,322.33,634036.3578,3869250.6891
1967.1260,322.50,634398.1350,3869584.6999
1967.2027,323.03,635465.4882,3869886.4629
1967.2877,324.41,638207.8028,3870220.8946
1967.3699,325.00,639395.2175,3870544.3234
1967.4548,324.09,637632.4261,3870878.3900
1967.5370,322.54,634609.3840,3871201.8464
1967.6219,320.92,631449.2201,3871535.9414
1967.7068,319.25,628190.3959,3871870.0508
1967.7890,319.39,628492.1287,3872193.5485
1967.8740,320.73,631156.2280,3872528.0799
1967.9562,321.96,633603.1782,3872851.6051
1968.0410,322.57,634830.9854,3873185.3777
1968.1257,323.15,635999.8200,3873518.7710
1968.2049,323.89,637481.8851,3873830.5284
1968.2896,325.02,639733.4858,3874163.9495
1968.3716,325.57,640842.7418,3874486.7557
1968.4563,325.36,640456.9418,3874820.2050
1968.5383,324.14,638082.0046,3875143.0386
1968.6230,322.11,634113.1545,3875476.5161
1968.7077,320.33,630636.1375,3875810.0080
1968.7896,320.25,630504.8694,3876132.4891
1968.8743,321.32,632638.6901,3876466.0092
1968.9563,322.89,635756.2997,3876788.9113
1969.0411,324.00,637969.3164,3877122.8535
1969.1260,324.41,638804.1657,3877457.2039
1969.2027,325.63,641231.4752,3877759.2737
1969.2877,326.66,643287.5201,3878094.0454
1969.3699,327.38,644732.3179,3878417.8030
1969.4548,326.71,643440.5777,3878752.2092
1969.5370,325.88,641832.7176,3879075.9944
1969.6219,323.66,637487.8242,3879410.4290
1969.7068,322.38,634994.0782,3879744.8780
1969.7890,321.78,633838.7044,3880068.7045
1969.8740,322.85,635973.8209,3880403.5759
1969.9562,324.11,638482.5040,3880727.4299
1970.0411,325.06,640381.5600,3881061.9357
1970.1260,325.99,642241.3747,3881396.4559
1970.2027,326.93,644118.3687,3881698.6791
1970.2877,328.13,646510.5030,3882033.6208
1970.3699,328.08,646438.9568,3882357.5428
1970.4548,327.67,645658.9243,3882692.1188
1970.5370,326.34,643065.0446,3883016.0684
1970.6219,324.68,639821.5185,3883350.6728
1970.7068,323.10,636735.3671,3883685.2916
1970.7890,323.06,636683.0943,3884009.2825
1970.8740,324.01,638582.8847,3884344.3239
1970.9562,325.13,640816.9893,3884668.3423
1971.0411,326.17,642894.4756,3885003.0179
1971.1260,326.69,643947.1529,3885337.7079
