x,y,ln(x),ln(x)y,ln(x)^2
1958.2027,315.71,7.5798,2393.0131,57.4531
1958.2877,317.45,7.5798,2406.2157,57.4538
1958.3699,317.51,7.5799,2406.6838,57.4544
1958.4548,317.27,7.5799,2404.8784,57.4551
1958.5370,315.87,7.5800,2394.2798,57.4557
1958.6219,314.93,7.5800,2387.1683,57.4563
1958.7068,313.21,7.5800,2374.1442,57.4570
1958.7890,312.42,7.5801,2368.1691,57.4576
1958.8740,313.33,7.5801,2375.0806,57.4583
1958.9562,314.67,7.5802,2385.2512,57.4589
1959.0411,315.58,7.5802,2392.1628,57.4596
1959.1260,316.49,7.5803,2399.0745,57.4602
1959.2027,316.65,7.5803,2400.2997,57.4608
1959.2877,317.72,7.5803,2408.4244,57.4615
1959.3699,318.29,7.5804,2412.7586,57.4621
1959.4548,318.15,7.5804,2411.7111,57.4628
1959.5370,316.54,7.5805,2399.5199,57.4634
1959.6219,314.80,7.5805,2386.3435,57.4641
1959.7068,313.84,7.5806,2379.0799,57.4647
1959.7890,313.33,7.5806,2375.2269,57.4654
1959.8740,314.81,7.5806,2386.4599,57.4660
1959.9562,315.58,7.5807,2392.3102,57.4667
1960.0410,316.43,7.5807,2398.7674,57.4673
1960.1257,316.98,7.5808,2402.9505,57.4680
1960.2049,317.58,7.5808,2407.5118,57.4686
1960.2896,319.03,7.5808,2418.5178,57.4692
1960.3716,320.03,7.5809,2426.1120,57.4699
1960.4563,319.58,7.5809,2422.7144,57.4705
1960.5383,318.18,7.5810,2412.1144,57.4712
1960.6230,315.90,7.5810,2394.8434,57.4718
1960.7077,314.17,7.5811,2381.7419,57.4725
1960.7896,313.83,7.5811,2379.1774,57.4731
1960.8743,315.00,7.5811,2388.0609,57.4738
1960.9563,316.19,7.5812,2397.0957,57.4744
1961.0411,316.89,7.5812,2402.4162,57.4751
1961.1260,317.70,7.5813,2408.5708,57.4757
1961.2027,318.54,7.5813,2414.9515,57.4763
1961.2877,319.48,7.5814,2422.0918,57.4770
1961.3699,320.58,7.5814,2430.4447,57.4776
1961.4548,319.77,7.5814,2424.3176,57.4783
1961.5370,318.56,7.5815,2415.1574,57.4789
1961.6219,316.79,7.5815,2401.7519,57.4796
