x,y,ln(x),ln(y),ln(x)ln(y),ln(x)^2
1958.2027,315.71,7.5798,5.7548,43.6203,57.4531
1958.2877,317.45,7.5798,5.7603,43.6622,57.4538
1958.3699,317.51,7.5799,5.7605,43.6639,57.4544
1958.4548,317.27,7.5799,5.7598,43.6584,57.4551
1958.5370,315.87,7.5800,5.7553,43.6251,57.4557
1958.6219,314.93,7.5800,5.7524,43.6028,57.4563
1958.7068,313.21,7.5800,5.7469,43.5615,57.4570
1958.7890,312.42,7.5801,5.7443,43.5426,57.4576
1958.8740,313.33,7.5801,5.7473,43.5649,57.4583
1958.9562,314.67,7.5802,5.7515,43.5975,57.4589
1959.0411,315.58,7.5802,5.7544,43.6197,57.4596
1959.1260,316.49,7.5803,5.7573,43.6417,57.4602
1959.2027,316.65,7.5803,5.7578,43.6458,57.4608
1959.2877,317.72,7.5803,5.7612,43.6716,57.4615
1959.3699,318.29,7.5804,5.7630,43.6854,57.4621
1959.4548,318.15,7.5804,5.7625,43.6824,57.4628
1959.5370,316.54,7.5805,5.7574,43.6441,57.4634
1959.6219,314.80,7.5805,5.7519,43.6026,57.4641
1959.7068,313.84,7.5806,5.7489,43.5797,57.4647
1959.7890,313.33,7.5806,5.7473,43.5676,57.4654
1959.8740,314.81,7.5806,5.7520,43.6036,57.4660
1959.9562,315.58,7.5807,5.7544,43.6223,57.4667
1960.0410,316.43,7.5807,5.7571,43.6430,57.4673
1960.1257,316.98,7.5808,5.7588,43.6564,57.4680
1960.2049,317.58,7.5808,5.7607,43.6710,57.4686
1960.2896,319.03,7.5808,5.7653,43.7057,57.4692
1960.3716,320.03,7.5809,5.7684,43.7297,57.4699
1960.4563,319.58,7.5809,5.7670,43.7193,57.4705
1960.5383,318.18,7.5810,5.7626,43.6863,57.4712
1960.6230,315.90,7.5810,5.7554,43.6320,57.4718
1960.7077,314.17,7.5811,5.7499,43.5906,57.4725
1960.7896,313.83,7.5811,5.7489,43.5826,57.4731
1960.8743,315.00,7.5811,5.7526,43.6111,57.4738
1960.9563,316.19,7.5812,5.7563,43.6399,57.4744
1961.0411,316.89,7.5812,5.7586,43.6569,57.4751
1961.1260,317.70,7.5813,5.7611,43.6765,57.4757
1961.2027,318.54,7.5813,5.7637,43.6968,57.4763
1961.2877,319.48,7.5814,5.7667,43.7194,57.4770
1961.3699,320.58,7.5814,5.7701,43.7457,57.4776
1961.4548,319.77,7.5814,5.7676,43.7267,57.4783
1961.5370,318.56,7.5815,5.7638,43.6982,57.4789
1961.6219,316.79,7.5815,5.7582,43.6562,57.4796
1961.7068,314.99,7.5816,5.7525,43.6133,57.4802
1961.7890,315.31,7.5816,5.7536,43.6212,57.4808
1961.8740,316.10,7.5817,5.7561,43.6405,57.4815
1961.9562,317.01,7.5817,5.7589,43.6625,57.4821
1962.0411,317.94,7.5817,5.7619,43.6849,57.4828
1962.1260,318.55,7.5818,5.7638,43.6997,57.4834
1962.2027,319.68,7.5818,5.7673,43.7268,57.4840
1962.2877,320.57,7.5819,5.7701,43.7481,57.4847
1962.3699,321.02,7.5819,5.7715,43.7590,57.4853
1962.4548,320.62,7.5820,5.7703,43.7498,57.4860
1962.5370,319.61,7.5820,5.7671,43.7261,57.4866
1962.6219,317.40,7.5820,5.7602,43.6738,57.4873
1962.7068,316.24,7.5821,5.7565,43.6463,57.4879
1962.7890,315.42,7.5821,5.7539,43.6268,57.4886
1962.8740,316.69,7.5822,5.7579,43.6575,57.4892
1962.9562,317.70,7.5822,5.7611,43.6819,57.4899
1963.0411,318.74,7.5823,5.7644,43.7069,57.4905
1963.1260,319.07,7.5823,5.7654,43.7150,57.4912
1963.2027,319.86,7.5823,5.7679,43.7340,57.4918
1963.2877,321.38,7.5824,5.7726,43.7702,57.4924
1963.3699,322.24,7.5824,5.7753,43.7907,57.4931
1963.4548,321.49,7.5825,5.7730,43.7733,57.4937
1963.5370,319.74,7.5825,5.7675,43.7321,57.4943
1963.6219,317.77,7.5825,5.7613,43.6855,57.4950
1963.7068,316.21,7.5826,5.7564,43.6485,57.4957
1963.7890,315.99,7.5826,5.7557,43.6434,57.4963
