x,y,xy,x^4,x^3,x^2,x^2y
1958.2027,315.71,618224.1744,14703833631111.7207,7508841465.2435,3834557.8143,1210608247.5486403
1958.2877,317.45,621658.4304,14706386803442.7949,7509819319.9308,3834890.7160,1217386057.785086
1958.3699,317.51,621802.0269,14708856187509.9922,7510765043.6774,3835212.6652,1217718373.3359103
1958.4548,317.27,621358.9544,14711407009189.1289,7511741914.6917,3835545.2036,1216903426.7598271
1958.5370,315.87,618643.0822,14713877025432.0234,7512687799.8384,3835867.1804,1211635366.263156
1958.6219,314.93,616828.7950,14716428500107.4590,7513664837.5613,3836199.7472,1208134386.372976
1958.7068,313.21,613486.5568,14718980306599.2812,7514641959.9908,3836532.3284,1201640290.5675898
1958.7890,312.42,611964.8594,14721451276417.0898,7515588088.5675,3836854.3465,1198710034.940091
1958.8740,313.33,613773.9904,14724006742699.6504,7516566528.8833,3837187.3479,1202305911.7099872
1958.9562,314.67,616424.7475,14726478345342.2676,7517512818.9912,3837509.3935,1207549080.8584478
1959.0411,315.58,618234.1903,14729031458665.2246,7518490274.9949,3837842.0315,1211146188.2973647
1959.1260,316.49,620043.7877,14731584903946.6309,7519467815.7233,3838174.6839,1214743905.6999152
1959.2027,316.65,620381.5350,14733892012153.3906,7520351014.2944,3838475.2197,1215453178.3139803
1959.2877,317.72,622504.8880,14736449097900.9648,7521329867.9418,3838808.2914,1219666170.3344865
1959.3699,318.29,623647.8455,14738922266795.1738,7522276557.7828,3839130.4050,1221956816.6157286
1959.4548,318.15,623400.5446,14741476997953.9355,7523254426.6670,3839463.1132,1221525189.478273
1959.5370,316.54,620271.8420,14743950799669.6074,7524201277.9905,3839785.2544,1215445624.4179633
1959.6219,314.80,616888.9741,14746506184491.6738,7525179313.6685,3840117.9910,1208869143.5540853
1959.7068,313.84,615034.3821,14749061901469.0410,7526157434.0963,3840450.7420,1205287060.8586845
1959.7890,313.33,614060.6874,14751536657733.5957,7527104528.9741,3840772.9245,1203429380.4401648
1959.8740,314.81,616987.9339,14754096039775.7676,7528083968.5489,3841106.0959,1209218610.0427234
1959.9562,315.58,618522.9776,14756571429511.4180,7529031225.0403,3841428.3059,1212277944.7817414
1960.0410,316.43,620215.7736,14759125442650.9160,7530008526.6843,3841760.7217,1215648345.1615188
1960.1257,316.98,621320.6444,14761676774911.3477,7530984760.2689,3842092.7598,1217866563.0015595
1960.2049,317.58,622521.8721,14764062735487.6816,7531897678.3946,3842403.2500,1220270424.1299217
1960.2896,319.03,625391.1911,14766614707820.3691,7532874075.2491,3842735.3159,1225947847.821419
1960.3716,320.03,627377.7231,14769085645552.6836,7533819427.6803,3843056.8101,1229893470.9320016
1960.4563,319.58,626522.6244,14771638269002.1641,7534795990.6080,3843388.9042,1228270226.0073328
1960.5383,318.18,623804.0763,14774109837149.0840,7535741503.8253,3843710.4258,1222991783.270509
1960.6230,315.90,619360.8057,14776663111826.0977,7536718232.8403,3844042.5481,1214333040.9539511
1960.7077,314.17,615995.5381,14779216717433.1875,7537695046.2495,3844374.6848,1207787194.7359598
1960.7896,313.83,615354.6002,14781686221054.0488,7538639648.5651,3844695.8555,1206580900.3215728
1960.8743,315.00,617675.4045,14784240477664.9102,7539616627.9832,3845028.0204,1211183826.4261541
1960.9563,316.19,620034.7725,14786713627047.0254,7540562544.4315,3845349.6105,1215861093.347059
